bannedWords,totallyBannedWords,streetPointers,housePointers,indoorPointers,nonHouseMarkers
село,область,улица,д,помещение,километр
город,край,ул,дом,пом,линии
россия,республика,переулок,владение,этаж,линия
казахстан,респ,пер,вл,эт,октября
беларусь,городской,бульвар,влд,неж,мая
таджикистан,округ,б-р,здание,квартира,влксм
узбекистан,поселение,бул,зд,кв,кпсс
область,сельское,проспект,домовладение,офис,января
край,отделения,пр,двлд,оф,февраля
республика,обл,пр-кт,участок,коммерчаское,марта
республика,внутригородская,прт,з/у,часть,апреля
улица,,пр-т,зу,ком,июня
поселок,,шоссе,склад,павильон,июля
городского,,шос,склд,пав,августа
типа,,ш,скл,пав-н,ноября
микрорайон,,аллея,цех,подвал,сентября
район,,алея,хутор,подв,декабря
сельское,,ал,хут,зал,лет
поселение,,взвоз,х-р,зл,летия
жилой,,взв,уч,цех,бригады
район,,въезд,,бутик,полка
коттеджный,,взд,,бут,полк
муниципальное,,дорога,,б-к,дивизии
образование,,а/д,,,дивизия
с,,автодорога,,,батальон
ст,,дор,,,батальона
наб,,кольцо,,,армии
набережная,,кол,,,армия
проезд,,к-цо,,,года
шоссе,,коса,,,
переулок,,линия,,,
бульвар,,лн,,,
область,,магистраль,,,
корп,,маг,,,
станица,,мгстр,,,
п,,набережная,,,
г,,наб,,,
ул,,переезд,,,
пер,,пер-д,,,
д,,переулок,,,
корп,,пер,,,
пгт,,площадка,,,
им,,пл-ка,,,
имени,,площадь,,,
проспект,,пл,,,
дом,,проезд,,,
рабочий,,пр-д,,,
мкр,,спуск,,,
№,,с-к,,,
р-н,,сп,,,
пр-т,,съезд,,,
пр,,сзд,,,
прсп,,тракт,,,
пр-кт,,тр,,,
российская,,тр-т,,,
федерация,,тр-кт,,,
обл,,тупик,,,
респ,,туп,,,
а/д,,острова,,,
автодорога,,пр-ка,,,
вблизи,,проселок,,,
р-он,,прос,,,
литера,,проселок,,,
корпус,,пр-лок,,,
литер,,проулок,,,
лит,,проул,,,
корп,,разъезд,,,
объездная,,рзд,,,
дорога,,ряды,,,
в-ть,,ряд,,,
автодорога,,рд,,,
деревня,,сквер,,,
в,,скв,,,
р-не,,ск-р,,,
деревни,,с-р,,,
а/дороги,,просек,,,
а/дорога,,просека,,,
ло,,пр-к,,,
мо,,пркт,,,
днт,,,,,
хутор,,,,,
районе,,,,,
б-р,,,,,
ш,,,,,
рп,,,,,
территория,,,,,
територия,,,,,
тер,,,,,
лет,,,,,
влд,,,,,
вл-е,,,,,
снт,,,,,
дор,,,,,
тракт,,,,,
тц,,,,,
трц,,,,,
бц,,,,,
трк,,,,,
твц,,,,,
тск,,,,,
тд,,,,,
метро,,,,,
м,,,,,
владение,,,,,
вл,,,,,
снт,,,,,
б-р,,,,,
бул,,,,,
ш,,,,,
аллея,,,,,
алея,,,,,
ал,,,,,
взвоз,,,,,
взв,,,,,
въезд,,,,,
взд,,,,,
кольцо,,,,,
кол,,,,,
к-цо,,,,,
коса,,,,,
линия,,,,,
лн,,,,,
магистраль,,,,,
маг,,,,,
мгстр,,,,,
переезд,,,,,
пер-д,,,,,
площадка,,,,,
пл-ка,,,,,
площадь,,,,,
пл,,,,,
пр-д,,,,,
просек,,,,,
просека,,,,,
пр-к,,,,,
пр-ка,,,,,
прос,,,,,
проселок,,,,,
пр-лок,,,,,
проулок,,,,,
проул,,,,,
разъезд,,,,,
рзд,,,,,
ряды,,,,,
ряд,,,,,
рд,,,,,
сквер,,,,,
скв,,,,,
ск-р,,,,,
с-р,,,,,
спуск,,,,,
с-к,,,,,
сп,,,,,
съезд,,,,,
сзд,,,,,
тр,,,,,
тр-т,,,,,
тр-кт,,,,,
тупик,,,,,
туп,,,,,
острова,,,,,
т/ц,,,,,
зд,,,,,
вн,,,,,
внешний,,,,,
внешняя,,,,,
бкз,,,,,
кз,,,,,
фудкорт,,,,,
фудмолл,,,,,
тг,,,,,
мо,,,,,
ло,,,,,
ао,,,,,
героя,,,,,
академика,,,,,
генерала,,,,,
маршала,,,,,
пркт,,,,,
